feature,dtype,missing_percentage,unique_values,mean,std,min,max,inf_count,status_flag
open,float64,0.0,107,81.0365,4.9723,71.69,93.97,0,OK
high,float64,0.0,108,81.9406,4.938,71.76,94.32,0,OK
low,float64,0.0,105,80.157,4.8938,70.97,92.01,0,OK
close,float64,0.0,106,81.0134,4.8763,71.53,93.41,0,OK
adj_close,float64,0.0,106,81.0134,4.8763,71.53,93.41,0,OK
volume,int64,0.0,109,5346034.2569,2774658.4563,329218.0,9648004.0,0,OK
revenue,float64,0.0,3,55699.9847,1245.3668,53815.13,58024.52,0,OK
net_income,float64,0.0,3,8865.4119,1172.954,6729.36,9685.65,0,OK
eps,float64,0.0,3,8.8634,1.1717,6.73,9.69,0,OK
ebitda,float64,0.0,3,13298.1144,1759.4239,10094.05,14528.48,0,OK
free_cash_flow,float64,0.0,3,7688.0298,1276.4036,5444.63,9224.7,0,OK
total_assets,float64,0.0,1,86360.4,0.0,86360.4,86360.4,0,CONSTANT
total_liabilities,float64,0.0,3,35814.3986,249.0712,35437.43,36279.3,0,OK
total_debt,float64,0.0,1,24674.4,0.0,24674.4,24674.4,0,CONSTANT
cash,float64,0.0,3,12624.6431,2049.6742,9041.46,13988.74,0,OK
equity,float64,0.0,1,61686.0,0.0,61686.0,61686.0,0,CONSTANT
shares_outstanding,float64,0.0,1,1000.0,0.0,1000.0,1000.0,0,CONSTANT
return_1d,float64,0.0,108,-0.0007,0.0149,-0.039,0.0317,0,OK
return_5d,float64,0.0,104,-0.0039,0.0383,-0.0879,0.089,0,OK
return_10d,float64,0.0,99,-0.0062,0.0503,-0.0838,0.0838,0,OK
return_20d,float64,0.0,89,-0.0209,0.0856,-0.1387,0.1569,0,OK
log_return_1d,float64,0.0,108,-0.0008,0.015,-0.0398,0.0312,0,OK
log_return_5d,float64,0.0,104,-0.0047,0.0385,-0.092,0.0852,0,OK
sma_10,float64,0.0,100,80.8996,4.4081,73.069,88.096,0,OK
price_to_sma_10,float64,0.0,100,-0.0022,0.0255,-0.0424,0.0622,0,OK
sma_20,float64,0.0,90,80.6236,3.7739,74.4535,86.2105,0,OK
price_to_sma_20,float64,0.0,90,-0.0054,0.0411,-0.0592,0.0716,0,OK
sma_50,float64,0.0,60,79.3621,1.5387,76.7334,82.9616,0,OK
price_to_sma_50,float64,0.0,60,-0.0172,0.072,-0.0927,0.1149,0,OK
sma_200,float64,0.0,1,0.0,0.0,0.0,0.0,0,CONSTANT
price_to_sma_200,float64,0.0,1,0.0,0.0,0.0,0.0,0,CONSTANT
ema_12,float64,0.0,109,81.3057,4.8604,73.6112,93.41,0,OK
ema_26,float64,0.0,109,81.8782,4.8044,75.3769,93.41,0,OK
rsi_14,float64,0.0,97,47.9614,17.8982,13.0381,81.8612,0,OK
macd,float64,0.0,109,-0.5724,1.7327,-2.8069,2.106,0,OK
macd_signal,float64,0.0,109,-0.6381,1.6106,-2.637,1.8013,0,OK
macd_hist,float64,0.0,109,0.0657,0.404,-0.9252,0.8545,0,OK
bollinger_upper,float64,0.0,90,85.4185,4.7976,77.7625,92.2601,0,OK
bollinger_lower,float64,0.0,90,75.8287,3.0933,70.3479,80.2699,0,OK
bollinger_bw,float64,0.0,90,0.1182,0.0317,0.0602,0.1684,0,OK
bollinger_pct_b,float64,0.0,90,0.4606,0.3363,-0.0971,1.1793,0,OK
atr_14,float64,0.0,96,2.1054,0.1778,1.6636,2.5021,0,OK
momentum_10d,float64,0.0,98,-0.6699,4.2016,-7.83,6.4,0,OK
roc_10d,float64,0.0,99,-0.6153,5.0289,-8.3824,8.3824,0,OK
volume_change_1d,float64,0.0,108,0.8131,2.9127,-0.9639,24.3216,0,OK
volume_sma_20,float64,0.0,90,5310600.822,404705.0629,4406682.6,6112438.25,0,OK
volatility_10d,float64,0.0,99,0.226,0.0442,0.0891,0.3225,0,OK
volatility_20d,float64,0.0,89,0.221,0.0265,0.1733,0.2836,0,OK
volatility_60d,float64,0.0,49,0.2234,0.009,0.217,0.2482,0,OK
